ID,FH,CL,CH,CD,FLA,FLL,FLW,GL,GWE,GWI,PS,PE,PL,SN,ANL,AWL,AWC,SC,SE,BLSC
F001,69,46,40,0.37,48,14,0.9,8.69,0.52,2.56,0,0,13.7,23,0.25,6,1,1,1,0
F002,84,56,50,0.47,62,17.7,0.7,7.7,0.41,2.17,0,3,14.8,41,0.31,3.8,1,1,1,0
F003,86,52,40,0.5,33,21.3,0.8,8.85,0.6,2.44,0,0,15.2,30,0.28,2.8,1,1,1,0
F004,79,60,45,0.57,77,22,1,8.53,0.58,2.36,0,1.7,17.3,46,0.31,4.7,1,1,1,0
F005,78,61,50,0.5,58,20,0.8,8.84,0.61,2.26,25,3.5,18.2,38,0.3,5.3,1,1,1,0
F006,85,70,65,0.53,58,21.7,1.1,8.75,0.6,2.31,30,0.7,20.3,52,0.3,4.7,1,1,1,0
F007,87,69,50,0.57,50,23.3,1.3,8.77,0.52,2.35,33,2.3,21.7,38,0.31,4.8,1,1,1,0
F008,74,65,55,0.53,62,34,1,8.13,0.54,2.39,23,2,20.3,58,0.2,5.8,1,1,1,0
F009,79,76,40,0.53,60,22.7,1,8.78,0.59,2.37,23,1.2,22.7,40,0.3,5.3,1,1,1,0
F010,74,57,45,0.5,48,26.7,1.1,8.7,0.58,2.57,35,1.3,22.3,59,0.32,5.3,1,1,0,0
F011,75,61,55,0.5,65,25.2,0.9,8.67,0.57,2.41,30,1.3,20.7,60,0.3,4.3,1,1,1,0
F012,78,70,50,0.53,88,22,0.9,9.32,0.65,2.36,30,4.2,19,43,0.33,4.5,1,0,1,0
F013,74,79,35,0.53,55,23.7,0.9,9.07,0.6,2.58,0,2.8,20.7,37,0.33,4.2,1,1,1,1
F014,67,64,45,0.5,70,20.7,0.9,8.85,0.6,2.44,0,0,19.5,50,0.3,1.5,1,1,1,0
F015,75,94,30,0.53,77,21.3,0.8,8.43,0.58,2.41,27,3.7,19.2,36,0.28,3.8,1,0,1,1
F016,86,71,50,0.6,58,20.3,1,9.18,0.6,2.46,32,1.8,21.7,36,0.32,5.3,1,1,1,0
F017,85,61,40,0.43,70,22,0.8,9.65,0.66,2.35,0,0,19.3,27,0.25,2.3,1,0,1,0
F018,86,59,35,0.5,63,20.7,0.9,7.97,0.5,2.31,28,2.2,17.7,39,0.31,4.2,1,1,1,0
F019,82,60,60,0.47,60,18.3,0.8,9.09,0.54,2.45,23,1,18,39,0.3,2.3,1,1,1,0
F020,80,64,30,0.53,73,19,0.9,8.51,0.53,2.22,22,1.2,16.7,44,0.28,1.8,1,0,1,0
F021,79,84,40,0.73,58,26.3,1.1,9.33,0.6,2.51,23,0,25,59,0.27,3.5,1,0,0,1
F022,99,44,40,0.4,0,13.8,0.7,8.9,0.49,2.27,0,0,13.5,15,0.25,3,1,1,1,0
F023,77,60,50,0.57,55,23,1,9.14,0.66,2.54,32,2.3,21.8,66,0.32,5.7,1,1,0,1
F024,90,73,45,0.5,38,25.3,0.9,9.23,0.61,2.46,28,3.5,25.3,44,0.31,5.8,1,1,1,0
F025,77,50,40,0.3,62,19,0.9,9.38,0.62,2.36,0,0,15.8,33,0.25,2.2,1,0,1,0
F026,74,66,40,0.5,67,22,1,8.53,0.62,2.49,32,0.7,21,39,0.3,5.7,1,1,1,0
F027,72,60,70,0.4,60,19.5,0.9,8.48,0.56,2.36,33,4.7,19.8,38,0.3,3.7,1,1,1,0
F028,97,59,60,0.53,47,25.3,1,8.09,0.51,2.58,28,0,19.3,43,0.27,5.3,1,1,0,0
F029,76,69,55,0.53,67,27.3,1.1,8.92,0.62,2.47,32,5.5,23.7,61,0.3,4.2,1,1,1,0
F030,70,60,40,0.43,77,22.5,0.8,9.24,0.65,2.38,22,4.5,17,28,0.25,4,1,1,1,0
F031,81,66,50,0.6,78,23.3,1,8.33,0.63,2.85,7,0,21.3,50,0.24,4.3,1,1,1,1
F032,82,69,55,0.5,48,24.3,0.9,8.77,0.55,2.28,27,4.2,19.7,46,0.3,2.7,1,1,1,0
F033,69,67,50,0.47,65,21.3,1,9.13,0.58,2.58,0,3.8,19,33,0.32,5.5,1,1,1,0
F034,70,68,50,0.37,60,19.8,0.9,9.32,0.6,2.59,27,4.3,18.7,41,0.28,3.7,1,1,1,0
F035,88,65,45,0.5,37,28.2,1.1,9.67,0.71,2.78,28,1.3,24,52,0.3,7.2,1,1,1,1
F036,77,64,45,0.53,65,23.3,1.1,9.6,0.7,2.59,18,0.7,20.3,33,0.34,5.5,1,1,1,0
F037,69,65,55,0.43,75,21.2,0.9,9.1,0.62,2.5,0,2,19,35,0.3,3.2,1,1,1,1
F038,81,64,55,0.43,55,21,1,9.49,0.62,2.62,32,2.5,20.7,39,0.33,4.5,1,1,1,0
F039,69,57,45,0.47,57,20,0.9,8.81,0.56,2.55,0,1.5,20.3,47,0.3,4.7,1,1,1,1
F040,86,55,40,0.5,40,16.5,1.1,8.77,0.61,2.45,0,3,16.3,33,0.31,4,1,1,1,0
F041,77,61,45,0.33,90,18,0.7,8.51,0.57,2.4,15,5.7,20.3,32,0.33,3.8,1,1,1,0
F042,77,59,40,0.57,55,21.3,0.9,8.96,0.58,2.44,0,1.3,20,38,0.27,4.7,1,1,1,0
F043,86,68,50,0.5,55,21.7,0.9,9.3,0.55,2.28,0,1,21.8,56,0.28,2,1,1,1,1
F044,77,67,60,0.47,72,26.2,1.2,8.55,0.49,2.35,27,3.8,20.3,62,0.32,3.7,1,1,1,0
F045,73,66,35,0.53,57,24,0.9,8.95,0.63,2.35,20,4.7,19.2,47,0.3,5.5,1,1,1,0
F046,78,68,60,0.53,60,21,0.8,7.96,0.51,2.39,0,0.5,18,46,0.3,4,1,1,1,0
F047,69,57,30,0.4,62,17.7,0.9,9.52,0.67,2.29,0,3,16.7,24,0.31,4.7,1,1,1,0
F048,75,66,40,0.47,53,19.8,0.8,8.85,0.6,2.44,0,1,18.7,32,0.24,3.2,1,1,0,1
F049,84,65,45,0.63,47,19.3,1,9.27,0.61,2.45,25,4.7,18.8,42,0.3,3.5,1,1,1,0
F050,67,64,45,0.5,57,22,0.9,9.1,0.63,2.6,30,1.8,17.5,47,0.25,2.7,1,1,1,0
F051,73,73,55,0.53,67,30.7,1,9.33,0.64,2.55,32,1,25.3,61,0.31,5.7,1,1,1,0
F052,88,67,55,0.5,65,18.3,0.9,8.96,0.55,2.46,32,2.3,17,31,0.31,4.2,1,1,1,0
F053,76,79,50,0.53,53,21,0.8,8.56,0.57,2.4,17,4.5,19.2,38,0.31,3.7,1,0,1,0
F054,69,54,40,0.43,60,20,0.7,8.92,0.55,2.17,0,0,16,25,0.3,3.8,1,1,1,0
F055,70,65,30,0.4,55,23.3,0.9,8.77,0.6,2.39,0,4,20.3,32,0.25,5,1,1,1,0
F056,69,77,45,0.5,65,24.5,0.8,9.37,0.7,2.64,25,0,20,36,0.31,3.7,1,1,0,1
F057,68,73,50,0.5,53,18.3,0.8,9.6,0.67,2.6,0,2.3,19.3,37,0.3,6,1,1,1,0
F058,75,63,45,0.47,73,25.8,1,9.39,0.56,2.35,0,2.5,19.2,46,0.3,4.5,1,1,1,1
F059,68,61,40,0.37,63,18.7,0.9,9.5,0.6,2.26,0,3.2,16,36,0.25,1.8,1,1,1,0
F060,85,70,50,0.67,63,23.7,0.9,9.47,0.58,2.35,30,2.7,23.7,49,0.3,3.7,1,1,1,1
F061,83,77,70,0.6,70,34.2,1.1,8.49,0.59,2.45,33,5.8,23.7,60,0.27,4,1,1,1,1
F062,71,61,45,0.4,88,23,1,8.77,0.62,2.75,0,1.5,21.3,41,0.31,4.8,1,1,1,0
F063,86,67,45,0.57,50,17.5,0.8,9.01,0.62,2.47,0,4,17,35,0.3,2.3,1,0,1,1
F064,69,67,50,0.47,63,22.7,1,8.71,0.59,2.56,35,1.5,21,41,0.3,3.5,1,0,1,0
F065,75,60,50,0.6,60,23.7,1,8.14,0.6,2.32,0,1,18.7,33,0.3,4.3,1,1,1,1
F066,68,63,50,0.53,72,22.8,0.9,8.85,0.65,2.42,0,0,18,49,0.2,1.8,1,0,1,1
F067,69,54,45,0.53,50,24,0.9,7.72,0.46,2.68,0,3,15.8,32,0.3,2.7,1,1,1,0
F068,67,64,50,0.5,38,20,0.7,8.86,0.57,2.35,40,1.8,17.3,39,0.28,2.5,1,1,1,0
F069,78,87,50,0.57,48,23.2,1,8.56,0.64,2.64,28,5.7,25.2,62,0.31,4.3,1,1,1,1
F070,77,63,50,0.47,53,17.3,0.7,8.64,0.56,2.23,0,0,17,31,0.3,5.2,1,1,1,1
F071,69,65,40,0.53,67,25.2,1,8.79,0.54,2.46,0,0,20.3,45,0.28,4.7,1,1,1,0
F072,73,65,50,0.57,40,18.3,0.8,8.54,0.52,2.35,0,1.5,18.8,36,0.3,4.5,1,1,1,0
F073,68,65,60,0.43,47,24.8,0.9,8.72,0.63,2.5,0,0,21.5,46,0.24,4.7,1,1,1,0
F074,84,62,50,0.5,67,23.7,0.8,8.7,0.59,2.26,0,1.5,17.7,35,0.28,4,1,1,1,0
F075,79,66,60,0.5,62,19.5,1,8.43,0.55,2.49,27,0,19.3,45,0.3,4.7,1,1,1,0
F076,88,63,45,0.53,50,20.3,0.9,8.59,0.6,2.39,23,2,17.5,31,0.28,4.2,1,1,0,1
F077,76,51,50,0.47,58,16,0.8,8.65,0.56,2.37,0,0,13.8,33,0.27,3.7,1,1,1,1
F078,75,83,70,0.5,63,20.3,0.8,8.53,0.58,2.47,27,3.2,23.2,44,0.32,3.8,1,1,1,0
