Locus,Chrom,Position
chr01_0_296125,chr1,0
chr01_296125_376399,chr1,0.082704355
chr01_376399_430596,chr1,0.166303646
chr01_430596_501120,chr1,0.249902206
chr01_501120_589247,chr1,0.584426112
chr01_589247_598536,chr1,0.918950604
chr01_598536_608682,chr1,1.169759359
chr01_608682_625648,chr1,1.504297461
chr01_625648_641478,chr1,1.755116528
chr01_641478_686553,chr1,1.838726184
chr01_686553_718498,chr1,2.00590691
chr01_718498_738648,chr1,2.089518954
chr01_738648_769732,chr1,2.256699682
chr01_769732_923014,chr1,2.340309256
chr01_923014_1034628,chr1,2.423920832
chr01_1034628_1049657,chr1,2.591107833
chr01_1049657_1076033,chr1,2.674725455
chr01_1076033_1093140,chr1,2.75834259
chr01_1093140_1124381,chr1,2.841958099
chr01_1124381_1145392,chr1,3.260324496
chr01_1145392_1158022,chr1,3.3439339
chr01_1158022_1178760,chr1,3.427545025
chr01_1178760_1190398,chr1,3.511158173
chr01_1190398_1220808,chr1,3.594771305
chr01_1220808_1347113,chr1,3.678384875
chr01_1347113_1352253,chr1,3.845571697
chr01_1352253_1422908,chr1,4.096406365
chr01_1422908_1437817,chr1,4.180017569
chr01_1437817_1497360,chr1,4.26362716
chr01_1497360_1509728,chr1,4.430804769
chr01_1509728_1546674,chr1,4.514412383
chr01_1546674_1556384,chr1,4.598019596
chr01_1556384_1569649,chr1,4.848845255
chr01_1569649_1619044,chr1,5.016022642
chr01_1619044_1655051,chr1,5.099617247
chr01_1655051_1678469,chr1,6.106675656
chr01_1678469_1708084,chr1,6.441210729
chr01_1708084_1719847,chr1,7.027403974
chr01_1719847_1740284,chr1,7.194573494
chr01_1740284_1769616,chr1,7.696815666
chr01_1769616_1780228,chr1,7.780432199
chr01_1780228_1792688,chr1,8.031289105
chr01_1792688_1807707,chr1,8.282150662
chr01_1807707_1850994,chr1,8.365773993
chr01_1850994_1873439,chr1,8.449397206
chr01_1873439_1936423,chr1,8.533020435
chr01_1936423_1942722,chr1,8.616641597
chr01_1942722_1970348,chr1,8.700262775
chr01_1970348_1983037,chr1,8.783883953
chr01_1983037_2053222,chr1,8.86750558
chr01_2053222_2080464,chr1,9.034708974
chr01_2080464_2109028,chr1,9.201916123
chr01_2109028_2133469,chr1,9.369119379
chr01_2133469_2140717,chr1,9.619986389
chr01_2140717_2152959,chr1,9.787168108
chr01_2152959_2168197,chr1,9.870792669
chr01_2168197_2207334,chr1,10.03798309
chr01_2207334_2212517,chr1,10.45637543
chr01_2212517_2218602,chr1,10.53999755
chr01_2218602_2225993,chr1,10.7072009
chr01_2225993_2242704,chr1,10.87441129
chr01_2242704_2260286,chr1,11.04162104
chr01_2260286_2282199,chr1,11.29248315
chr01_2282199_2290173,chr1,11.37610698
chr01_2290173_2354054,chr1,11.5433033
chr01_2354054_2578697,chr1,11.79414867
chr01_2578697_2611140,chr1,12.2125504
chr01_2611140_2657262,chr1,12.4634138
chr01_2657262_2703459,chr1,12.71428073
chr01_2703459_2759890,chr1,12.88148992
chr01_2759890_2893381,chr1,12.96512239
chr01_2893381_2952412,chr1,13.13233872
chr01_2952412_2999375,chr1,13.29955832
chr01_2999375_3065073,chr1,13.38320162
chr01_3065073_3078878,chr1,13.5504215
chr01_3078878_3128077,chr1,13.63406641
chr01_3128077_3136664,chr1,13.71770624
chr01_3136664_3220536,chr1,13.80134561
chr01_3220536_3284404,chr1,14.13598202
chr01_3284404_3383002,chr1,14.21961662
chr01_3383002_3453094,chr1,14.55424114
chr01_3453094_3459639,chr1,14.80512
chr01_3459639_3483729,chr1,14.88875161
chr01_3483729_3489707,chr1,14.97238355
chr01_3489707_3516762,chr1,15.1395994
chr01_3516762_3556760,chr1,15.22323081
chr01_3556760_3577856,chr1,15.55784311
chr01_3577856_3588969,chr1,15.72505955
chr01_3588969_3596504,chr1,15.97592754
chr01_3596504_3607341,chr1,16.05956039
chr01_3607341_3637037,chr1,16.22676304
chr01_3637037_3664854,chr1,16.98124249
chr01_3664854_3684821,chr1,17.23209436
chr01_3684821_3719143,chr1,17.6505108
chr01_3719143_3730243,chr1,17.73413917
chr01_3730243_3841154,chr1,17.90135226
chr01_3841154_3875013,chr1,18.06856588
chr01_3875013_3981435,chr1,18.23577561
chr01_3981435_4000982,chr1,18.4866379
chr01_4000982_4006971,chr1,18.73749475
chr01_4006971_4021916,chr1,18.8211181
chr01_4021916_4045273,chr1,18.90474131
chr01_4045273_4073056,chr1,18.98836501
chr01_4073056_4078128,chr1,19.1555652
chr01_4078128_4101760,chr1,19.32276263
chr01_4101760_4144120,chr1,19.48995948
chr01_4144120_4159412,chr1,19.74080325
chr01_4159412_4184729,chr1,19.82441573
chr01_4184729_4224622,chr1,20.15897145
chr01_4224622_4309752,chr1,20.40980864
chr01_4309752_4323389,chr1,20.49342803
chr01_4323389_4340962,chr1,20.74428017
chr01_4340962_4349299,chr1,20.82789988
